salary   age   degree
249.42    55    mba
230.55    63    mba
139.96    65    law
135.53    60    law
122.67    60    mba
80.73     71    phd
75.33     61    none
71.84     57    masters
69.66     57    bachelors
68.96     67    bachelors
62.99     56    mba
56.47     58    bachelors
55.99     60    mba
47.83     48    mba
46.19     62    masters
41.31     65    law
39.64     63    bachelors
39.32     53    mba
37.48     55    bachelors
37.42     53    bachelors
36.54     59    mba
36.38     60    mba
35.41     59    mba
34.49     58    masters
32.94     43    mba
32.73     64    mba
32.19     57    mba
31.54     63    mba
31.44     64    phd
31.43     63    mba
31.34     59    mba
31.23     61    bachelors
30.87     57    masters
29.36     53    mba
28.82     54    mba
28.40     72    none
27.97     54    bachelors
27.89     50    mba
26.90     60    law
25.18     62    mba
  
