name,time,REF
World,1800,30.64
World,1801,30.71
World,1802,30.6
World,1803,30.28
World,1804,30.2
World,1805,30.78
World,1806,30.79
World,1807,30.74
World,1808,30.71
World,1809,30.73
World,1810,30.82
World,1811,30.81
World,1812,30.22
World,1813,30.75
World,1814,30.71
World,1815,30.94
World,1816,31.05
World,1817,31.06
World,1818,31.02
World,1819,30.99
World,1820,31.09
World,1821,31.14
World,1822,31.12
World,1823,31.16
World,1824,31.12
World,1825,31.13
World,1826,31.1
World,1827,31.19
World,1828,31.12
World,1829,31.15
World,1830,31.19
World,1831,31.16
World,1832,30.62
World,1833,30.55
World,1834,31.08
World,1835,31.22
World,1836,31.28
World,1837,30.95
World,1838,30.91
World,1839,31.29
World,1840,31.27
World,1841,31.33
World,1842,31.29
World,1843,31.34
World,1844,31.39
World,1845,31.45
World,1846,31.17
World,1847,31.15
World,1848,30.78
World,1849,30.93
World,1850,31.38
World,1851,31.06
World,1852,30.72
World,1853,30.43
World,1854,29.88
World,1855,29.64
World,1856,29.55
World,1857,29.73
World,1858,29.94
World,1859,30.06
World,1860,30.15
World,1861,30.03
World,1862,30.86
World,1863,30.99
World,1864,31
World,1865,31.12
World,1866,30.39
World,1867,31.39
World,1868,31.19
World,1869,30.55
World,1870,31.36
World,1871,31.11
World,1872,31.52
World,1873,31.73
World,1874,31.85
World,1875,31.79
World,1876,30.34
World,1877,29.77
World,1878,29.2
World,1879,31.32
World,1880,32.13
World,1881,32.38
World,1882,32.24
World,1883,32.41
World,1884,32.6
World,1885,32.64
World,1886,32.77
World,1887,32.85
World,1888,32.77
World,1889,32.66
World,1890,32.59
World,1891,32.29
World,1892,32.16
World,1893,32.99
World,1894,33.27
World,1895,33.24
World,1896,33.25
World,1897,32.91
World,1898,34.03
World,1899,33.75
World,1900,32.82
World,1901,33.93
World,1902,34.22
World,1903,34.45
World,1904,34.23
World,1905,34.3
World,1906,34.45
World,1907,34.16
World,1908,35.17
World,1909,35.37
World,1910,35.5
World,1911,35.64
World,1912,36.15
World,1913,36.11
World,1914,35.64
World,1915,34.92
World,1916,35.06
World,1917,35.02
World,1918,23.61
World,1919,35.8
World,1920,36.06
World,1921,36.82
World,1922,37.19
World,1923,38.08
World,1924,38.53
World,1925,38.68
World,1926,39.19
World,1927,37.93
World,1928,39.94
World,1929,39.21
World,1930,40.67
World,1931,40.89
World,1932,40.98
World,1933,40.17
World,1934,42.11
World,1935,42.7
World,1936,43.06
World,1937,42.75
World,1938,43.2
World,1939,43.58
World,1940,43.34
World,1941,41.92
World,1942,40.79
World,1943,39.24
World,1944,40.65
World,1945,42.14
World,1946,46.57
World,1947,46.43
World,1948,49.04
World,1949,50.01
World,1950,51.12
World,1951,51.63
World,1952,52.41
World,1953,52.91
World,1954,53.39
World,1955,53.82
World,1956,54.17
World,1957,54.41
World,1958,53.15
World,1959,51.11
World,1960,46.63
World,1961,51.64
World,1962,55.24
World,1963,56.38
World,1964,56.83
World,1965,56.75
World,1966,57.1
World,1967,57.35
World,1968,57.83
World,1969,58.13
World,1970,58.36
World,1971,58.74
World,1972,59.17
World,1973,59.7
World,1974,60.04
World,1975,60.26
World,1976,60.46
World,1977,61.01
World,1978,61.41
World,1979,61.84
World,1980,62.25
World,1981,62.55
World,1982,62.94
World,1983,63.14
World,1984,63.37
World,1985,63.8
World,1986,64.29
World,1987,64.61
World,1988,64.88
World,1989,65.17
World,1990,65.42
World,1991,65.55
World,1992,65.76
World,1993,65.84
World,1994,65.76
World,1995,66.17
World,1996,66.45
World,1997,66.66
World,1998,66.86
World,1999,67.01
World,2000,67.24
World,2001,67.52
World,2002,67.76
World,2003,68.06
World,2004,68.36
World,2005,68.71
World,2006,69.2
World,2007,69.62
World,2008,69.86
World,2009,70.37
World,2010,70.62
World,2011,71.08
World,2012,71.48
World,2013,71.83
World,2014,72.16
World,2015,72.44
World,2016,72.77
World,2017,73.07
World,2018,73.29
World,2019,73.49
World,2020,72
World,2021,71
World,2022,71.7
World,2023,73.4
World,2024,73.7
World,2025,73.8
World,2026,73.9
World,2027,74.84
World,2028,75.01
World,2029,75.17
World,2030,75.33
World,2031,75.49
World,2032,75.65
World,2033,75.8
World,2034,75.95
World,2035,76.09
World,2036,76.23
World,2037,76.37
World,2038,76.51
World,2039,76.64
World,2040,76.78
World,2041,76.91
World,2042,77.04
World,2043,77.17
World,2044,77.3
World,2045,77.43
World,2046,77.55
World,2047,77.67
World,2048,77.8
World,2049,77.92
World,2050,78.03
World,2051,78.15
World,2052,78.27
World,2053,78.38
World,2054,78.49
World,2055,78.6
World,2056,78.71
World,2057,78.82
World,2058,78.93
World,2059,79.03
World,2060,79.14
World,2061,79.24
World,2062,79.35
World,2063,79.45
World,2064,79.55
World,2065,79.65
World,2066,79.75
World,2067,79.85
World,2068,79.95
World,2069,80.05
World,2070,80.14
World,2071,80.24
World,2072,80.33
World,2073,80.43
World,2074,80.53
World,2075,80.62
World,2076,80.71
World,2077,80.81
World,2078,80.9
World,2079,80.99
World,2080,81.09
World,2081,81.18
World,2082,81.27
World,2083,81.37
World,2084,81.46
World,2085,81.56
World,2086,81.65
World,2087,81.74
World,2088,81.84
World,2089,81.93
World,2090,82.02
World,2091,82.12
World,2092,82.21
World,2093,82.3
World,2094,82.4
World,2095,82.49
World,2096,82.59
World,2097,82.68
World,2098,82.78
World,2099,82.87
World,2100,82.96
