Year	Sparrows	Robins
1980	120	150
1981	136	170
1982	152	190
1983	168	210
1984	184	210
1985	170	230
1986	186	160
1987	202	180
1988	138	180
1989	154	200
1990	140	220
1991	156	240
1992	172	150
1993	188	170
1994	204	190
1995	190	210
1996	126	210
1997	142	230
1998	158	160
1999	174	180
2000	160	180
2001	176	200
2002	192	220
2003	208	240
2004	144	150
2005	130	170
2006	146	190
2007	162	210
2008	178	210
2009	194	230
2010	180	160
2011	196	180
2012	132	180
2013	148	200
2014	164	220
2015	150	240
2016	166	150
2017	182	170
2018	198	190
2019	214	210
2020	120	210
